Set,Time,antennaSTR,clientRSSI,bssidRSSI,bssidArray,clientArray
0,36.17320418357849,20,-41,-1,[-1],[-41]
0,37.20680212974548,21,-41,-1,[-1],[-41]
0,38.24069809913635,22,-41,-1,[-1],[-41]
0,44.28337621688843,23,-41,-37,[-37],[-41]
0,46.06551814079285,24,-41,-1,[-1],[-41]
0,47.097283124923706,25,-41,-1,[-1],[-41]
0,49.1324200630188,26,-41,-1,[-1],[-41]
0,50.16216015815735,27,-39,-1,[-1],[-39]
0,53.19787812232971,28,-37,-1,[-1],[-37]
0,54.22983407974243,29,-42,-1,[-1],[-42]
0,56.26511812210083,30,-38,-1,[-1],[-38]
1,56.29469418525696,0,-42,-1,[-1],[-42]
1,56.31658315658569,1,-42,-1,[-1],[-42]
1,56.338762044906616,2,-42,-38,[-38],[-42]
1,56.36135506629944,3,-40,-1,[-1],[-40]
1,56.38470411300659,4,-41,-1,[-1],[-41]
1,56.40597105026245,5,-40,-1,[-1],[-40]
1,56.42668700218201,6,-40,-1,[-1],[-40]
1,56.44723320007324,7,-40,-1,[-1],[-40]
1,56.471309185028076,8,-41,-1,[-1],[-41]
1,56.49484419822693,9,-41,-1,[-1],[-41]
1,56.515669107437134,10,-42,-1,[-1],[-42]
1,56.53793716430664,11,-42,-1,[-1],[-42]
1,56.56256103515625,12,-41,-1,[-1],[-41]
1,56.58415508270264,13,-41,-1,[-1],[-41]
1,56.606590032577515,14,-41,-1,[-1],[-41]
1,56.62769412994385,15,-42,-1,[-1],[-42]
1,70.1958281993866,17,-39,-1,[-1],[-39]
1,72.22780919075012,18,-38,-1,[-1],[-38]
1,73.00846099853516,19,-37,-1,[-1],[-37]
1,75.29078602790833,20,-40,-1,[-1],[-40]
1,76.07385110855103,21,-38,-1,[-1],[-38]
1,78.10598111152649,22,-40,-1,[-1],[-40]
1,79.13745498657227,23,-39,-1,[-1],[-39]
1,80.16868710517883,24,-39,-1,[-1],[-39]
1,82.20011711120605,25,-35,-1,[-1],[-35]
1,86.23473501205444,26,-41,-1,[-1],[-41]
1,88.26619601249695,27,-38,-1,[-1],[-38]
1,89.29768919944763,28,-37,-1,[-1],[-37]
1,91.33424711227417,29,-37,-1,[-1],[-37]
1,92.11460518836975,30,-41,-1,[-1],[-41]
2,92.14186406135559,0,-42,-1,[-1],[-42]
2,92.16051316261292,1,-42,-1,[-1],[-42]
2,92.1791582107544,2,-42,-1,[-1],[-42]
2,92.19936800003052,3,-41,-1,[-1],[-41]
2,92.21895217895508,4,-95,-35,[-35],"[-42, -53]"
2,92.23832321166992,5,-42,-1,[-1],[-42]
